doc1	1	A study of Parkinson´s Disease’s clinical biomarkers from an epidemiological view
doc1	2	Parkinson’s Disease (PD) is a movement-related neurodegenerative disorder.
doc1	3	The overall prevalence of PD in the total population is around 0,1-0,3% and its etiology is hitherto unknown.
doc1	4	Even if the disease has classically been defined as a pure motor movement disorder, non-motor symptoms (NMS), such as disautonomic, sensorial, emotional and sleeping disturbances, are also frequent in the earliest stages of the disease.
doc1	5	Due to their early presentation, these NMS may serve as useful clinical biomarkers.
doc1	6	Genetic forms are responsible of 15% of PD cases. Missense mutations in LRRK2 were first identified as a cause of PD in 2004 and nowadays are known to be the main factor in contributing to the genetic development of PD.
doc1	7	One of these mutations seemed to be especially frequent in population of Basque ascent.
doc1	8	With the aim of assessing the disease prevalence in the area, an epidemiological study was conducted in 2009 within the communities of Azkoitia and Azpeitia.
doc1	9	Not only was the prevalence studied but also the appearance of NMS as possible biomarkers of PD was analyzed.
doc1	10	Based on this, we thought that it would be interesting to study the same population sample that was previously analyzed in 2009, 10 years after. The purpose was to determine the relevance of age, NMS and environmental factors on PD development.
doc1	11	In this study, which has been a Final Degree Project in Medicine, it has been possible to collect information from 173 of the 232 people who participated in 2009.
doc1	12	According to the results, there was an increment of PD along with the increase of the sample’s average age.
doc1	13	Besides, the REM sleep behaviour disorder appears to be the most significant clinical biomarker of PD as well as the most meaningful risk factor to develop PD in the near future.
doc1	14	All these outcomes need to be treated with some caution due to the reduced size of the sample analyzed.
doc2	1	Activation of specialized care in Basque in the Integrated Health Organization Barrualde-Galdakao from Osakidetza
doc2	2	In 2015 we began to register the linguistic choice of the citizens of our region, that is, the language in which they wanted to communicate orally in the healthcare activity.
doc2	3	From the first moment, we clearly saw that, based on the linguistic competence of our professionals, we had to reorganize our human resources in order to offer healthcare, according to the linguistic choice of the citizen.
doc2	4	And so we have done, starting in Primary Care and continuing in Specialized Care.
doc2	5	As of today we can affirm that we have a wide active fixed offer of external consultations for specialized care in Basque.
doc3	1	Proton pump inhibitors may produce hypomagnesemia
doc3	2	Proton bomb inhibitors can cause hypomagnesemia.
doc3	3	Due to high heterogeneity, it is not possible to draw definitive conclusions.
doc3	4	Subgroups were found to decrease heterogeneity, in which there was no statistically significant difference.
doc4	1	Vaccines do not cause autism
doc4	2	No relationship was observed between vaccination and autism in a research that brings together 1,256,407 people.
doc4	3	No statistically significant difference was observed in the subgroups (type of vaccine or outcome).
doc5	1	Familial Hypercholesterolemia: physiopathology, diagnosis and treatment
doc5	2	Cardiovascular disease (CVD) is the main cause of mortality worldwide, and is heavily related to diet and sedentary lifestyle.
doc5	3	However, it can also be developed due to genetic factors.
doc5	4	Familial Hypercholesterolemia (FH) is a common inherited autosomic disease mainly related to mutations in 3 different genes.
doc5	5	FH is associated with high plasma LDL cholesterol (LDL-C) levels that increase the risk of suffering from CVD.
doc5	6	This review aims to summarize the current knowledge on FH related genetic factors, disease diagnosis, treatment and the involvement of FH in the development of CVD.
doc6	1	Importance of nutrition in Amyotrophic lateral sclerosis: nutritional care
doc6	2	Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease of the human motor system that causes progressive loss of brain and spinal cord motoneurons.
